Date,Interest
2005-03,2.00
2005-04,1.00
2005-05,1.00
2005-06,2.00
2005-07,0.00
2005-08,1.00
2005-09,1.00
2005-10,2.00
2005-11,2.00
2005-12,1.00
2006-01,1.00
2006-02,1.00
2006-03,1.00
2006-04,1.00
2006-05,1.00
2006-06,1.00
2006-07,1.00
2006-08,1.00
2006-09,1.00
2006-10,2.00
2006-11,3.00
2006-12,1.00
2007-01,2.00
2007-02,2.00
2007-03,3.00
2007-04,2.00
2007-05,2.00
2007-06,2.00
2007-07,2.00
2007-08,2.00
2007-09,2.00
2007-10,3.00
2007-11,3.00
2007-12,2.00
2008-01,2.00
2008-02,2.00
2008-03,2.00
2008-04,2.00
2008-05,2.00
2008-06,2.00
2008-07,2.00
2008-08,3.00
2008-09,2.00
2008-10,4.00
2008-11,4.00
2008-12,3.00
2009-01,2.00
2009-02,2.00
2009-03,2.00
2009-04,2.00
2009-05,2.00
2009-06,3.00
2009-07,3.00
2009-08,2.00
2009-09,3.00
2009-10,3.00
2009-11,2.00
2009-12,2.00
2010-01,1.00
2010-02,1.00
2010-03,2.00
2010-04,1.00
2010-05,1.00
2010-06,2.00
2010-07,2.00
2010-08,2.00
2010-09,3.00
2010-10,3.00
2010-11,2.00
2010-12,2.00
2011-01,2.00
2011-02,2.00
2011-03,1.00
2011-04,2.00
2011-05,2.00
2011-06,2.00
2011-07,2.00
2011-08,2.00
2011-09,3.00
2011-10,3.00
2011-11,3.00
2011-12,2.00
2012-01,2.00
2012-02,2.00
2012-03,2.00
2012-04,2.00
2012-05,2.00
2012-06,2.00
2012-07,2.00
2012-08,3.00
2012-09,3.00
2012-10,3.00
2012-11,2.00
2012-12,2.00
2013-01,3.00
2013-02,2.00
2013-03,2.00
2013-04,4.00
2013-05,3.00
2013-06,19.00
2013-07,46.00
2013-08,52.00
2013-09,24.00
2013-10,85.00
2013-11,69.00
2013-12,100.00
2014-01,79.00
2014-02,48.00
2014-03,43.00
2014-04,29.00
2014-05,27.00
2014-06,16.00
2014-07,16.00
2014-08,23.00
2014-09,12.00
2014-10,12.00
2014-11,12.00
2014-12,11.00
2015-01,9.00
2015-02,9.00
2015-03,12.00
2015-04,14.00
2015-05,13.00
2015-06,14.00
2015-07,12.00
2015-08,14.00
2015-09,9.00
2015-10,11.00
2015-11,16.00
2015-12,9.00
2016-01,9.00
2016-02,7.00
2016-03,20.00
2016-04,11.00
2016-05,28.00
2016-06,40.00
2016-07,10.00
2016-08,7.00
2016-09,6.00
2016-10,8.00
2016-11,7.00
2016-12,7.00
2017-01,15.00
2017-02,6.00
2017-03,7.00
2017-04,7.00
2017-05,6.00
2017-06,6.00
2017-07,11.00
2017-08,9.00
2017-09,8.00
2017-10,9.00
2017-11,7.00
2017-12,7.00
2018-01,6.00
2018-02,6.00
2018-03,8.00
2018-04,7.00
2018-05,7.00
2018-06,6.00
2018-07,6.00
2018-08,6.00
2018-09,6.00
2018-10,7.00
2018-11,7.00
2018-12,7.00
2019-01,7.00
2019-02,8.00
2019-03,8.00
2019-04,11.00
2019-05,10.00
2019-06,8.00
2019-07,7.00
2019-08,6.00
2019-09,6.00
2019-10,8.00
2019-11,6.00
2019-12,6.00
2020-01,5.00
2020-02,5.00
2020-03,6.00
